t,z,vz,state,u_h_applied,F_contact,h_target
0.0,0.6874693280516834,0.0,0,0.0,0.0,0.5
0.004166666666666667,0.6874693280516834,-0.040875,0,0.0,0.0,0.5
0.008333333333333333,0.6872990155516834,-0.08174290903922102,0,0.0,0.0,0.5
0.0125,0.6869584200973533,-0.12260317157084752,0,0.0,0.0,0.5
0.016666666666666666,0.6864475735491414,-0.1634552324531519,0,0.0,0.0,0.5
0.020833333333333332,0.6857665100805866,-0.20429853697961542,0,0.0,0.0,0.5
0.025,0.6849152661765049,-0.24513253090900008,0,0.0,0.0,0.5
0.029166666666666667,0.6838938806310507,-0.2859566604953674,0,0.0,0.0,0.5
0.03333333333333333,0.6827023945456534,-0.3267703725180411,0,0.0,0.0,0.5
0.0375,0.6813408513268282,-0.3675731143115106,0,0.0,0.0,0.5
0.041666666666666664,0.6798092966838636,-0.4083643337952705,0,0.0,0.0,0.5
0.04583333333333333,0.6781077786263833,-0.4491434795035944,0,0.0,0.0,0.5
0.05,0.676236347461785,-0.4899100006152384,0,0.0,0.0,0.5
0.05416666666666667,0.6741950557925548,-0.5306633469830713,0,0.0,0.0,0.5
0.058333333333333334,0.6719839585134586,-0.5714029691636283,0,0.0,0.0,0.5
0.0625,0.6696031128086102,-0.6121283184465844,0,0.0,0.0,0.5
0.06666666666666667,0.6670525781484161,-0.6528388468841454,0,0.0,0.0,0.5
0.07083333333333333,0.6643324162863988,-0.6935340073203511,0,0.0,0.0,0.5
0.075,0.6614426912558974,-0.734213253420288,0,0.0,0.0,0.5
0.07916666666666666,0.6583834693666462,-0.7748760396992117,0,0.0,0.0,0.5
0.08333333333333333,0.6551548192012328,-0.8155218215515687,0,0.0,0.0,0.5
0.0875,0.6517568116114345,-0.8561500552799212,0,0.0,0.0,0.5
0.09166666666666666,0.6481895197144348,-0.8967601981237683,0,0.0,0.0,0.5
0.09583333333333333,0.6444530188889191,-0.9373517082882612,0,0.0,0.0,0.5
0.1,0.6405473867710514,-0.9779240449728064,0,0.0,0.0,0.5
0.10416666666666667,0.6364727032503313,-1.0184766683995605,0,0.0,0.0,0.5
0.10833333333333334,0.6322290504653332,-1.0590090398418064,0,0.0,0.0,0.5
0.1125,0.6278165127993256,-1.099520621652212,0,0.0,0.0,0.5
0.11666666666666667,0.6232351768757747,-1.1400108772909627,0,0.0,0.0,0.5
0.12083333333333333,0.618485131553729,-1.1804792713537795,0,0.0,0.0,0.5
0.125,0.6135664679230882,-1.2209252695997925,0,0.0,0.0,0.5
0.12916666666666665,0.6084792792997558,-1.2613483389793032,0,0.0,0.0,0.5
0.13333333333333333,0.6032236612206753,-1.3017479476613916,0,0.0,0.0,0.5
0.1375,0.5977997114387528,-1.3421235650614036,0,0.0,0.0,0.5
0.14166666666666666,0.5922075299176636,-1.3824746618682882,0,0.0,0.0,0.5
0.14583333333333334,0.5864472188265457,-1.4228007100717954,0,0.0,0.0,0.5
0.15,0.5805188825345798,-1.463101182989528,0,0.0,0.0,0.5
0.15416666666666667,0.5744226276054568,-1.5033755552938444,0,0.0,0.0,0.5
0.15833333333333333,0.5681585627917325,-1.5436233030386064,0,0.0,0.0,0.5
0.1625,0.5617267990290716,-1.5838439036857799,0,0.0,0.0,0.5
0.16666666666666666,0.5551274494303808,-1.6240368361318702,0,0.0,0.0,0.5
0.17083333333333334,0.5483606292798314,-1.6642015807342045,0,0.0,0.0,0.5
0.175,0.5414264560267722,-1.7043376193370465,0,0.0,0.0,0.5
0.17916666666666667,0.5343250492795345,-1.744444435297546,0,0.0,0.0,0.5
0.18333333333333332,0.5270565307991281,-1.7845215135115242,0,0.0,0.0,0.5
0.1875,0.5196210244928301,-1.824568340439086,0,0.0,0.0,0.5
0.19166666666666665,0.5120186564076672,-1.864584404130056,0,0.0,0.0,0.5
0.19583333333333333,0.504249554723792,-1.9045691942492446,0,0.0,0.0,0.5
0.2,0.4963138497477535,-1.944522202101531,0,0.0,0.0,0.5
0.20416666666666666,0.4882116739056638,-1.9844429206567664,0,0.0,0.0,0.5
0.20833333333333334,0.4799431617362606,-2.0243308445744947,0,0.0,0.0,0.5
0.2125,0.47150844988386686,-2.0641854702284905,0,0.0,0.0,0.5
0.21666666666666667,0.46290767709124814,-2.1040062957310983,0,0.0,0.0,0.5
0.22083333333333333,0.4541409841923686,-2.1437928209573927,0,0.0,0.0,0.5
0.225,0.44520851410504614,-2.1835445475691415,0,0.0,0.0,0.5
0.22916666666666666,0.43611041182350807,-2.2232609790385727,0,0.0,0.0,0.5
0.23333333333333334,0.4268468244108473,-2.2629416206719437,0,0.0,0.0,0.5
0.2375,0.4174179009913809,-2.3025859796329096,0,0.0,0.0,0.5
0.24166666666666667,0.4078237927429105,-2.3421935649657004,0,0.0,0.0,0.5
0.24583333333333332,0.3980646528888867,-2.3817638876180727,0,0.0,0.0,0.5
0.25,0.38814063669047805,-2.4212964604640823,0,0.0,0.0,0.5
0.25416666666666665,0.3780519014385444,-2.460790798326623,0,0.0,0.0,0.5
0.2583333333333333,0.36779860644551676,-2.5002464179997728,0,0.0,0.0,0.5
0.2625,0.35738091303718444,-2.5396628382709205,0,0.0,0.0,0.5
0.26666666666666666,0.34679898454438896,-2.5790395799426817,0,0.0,0.0,0.5
0.2708333333333333,0.33605298629462776,-2.618376165854592,0,0.0,0.0,0.5
0.275,0.325143085603567,-2.6576721209045915,0,0.0,0.0,0.5
0.2791666666666667,0.3140694517664645,-2.696926972070282,0,0.0,0.0,0.5
0.2833333333333333,0.30283225604950503,-2.736140248429966,0,0.0,0.0,0.5
