t_apex,apex_h,F_peak_stance,h_target
0.5625,0.3997361463907067,86.57686432782171,0.5
1.0125,0.3997361464131637,86.57686432782171,0.5
1.4625,0.39973614641316413,86.57686432782171,0.5
1.9124999999999999,0.39973614641316413,86.57686432782171,0.5
2.3625,0.39973614641316413,86.57686432782171,0.5
2.8125,0.39973614641316413,86.57686432782171,0.5
3.2624999999999997,0.39973614641316413,86.57686432782171,0.5
3.7125,0.39973614641316413,86.57686432782171,0.5
4.1625,0.39973614641316413,86.57686432782171,0.5
4.6125,0.39973614641316413,86.57686432782171,0.5
5.0625,0.39973614641316413,86.57686432782171,0.7
5.5125,0.39973614641316413,86.57686432782171,0.7
5.9625,0.39973614641316413,86.57686432782171,0.7
6.4125,0.39973614641316413,86.57686432782171,0.7
6.8625,0.39973614641316413,86.57686432782171,0.7
7.3125,0.39973614641316413,86.57686432782171,0.7
7.7625,0.39973614641316413,86.57686432782171,0.7
8.2125,0.39973614641316413,86.57686432782171,0.7
8.6625,0.39973614641316413,86.57686432782171,0.7
9.1125,0.39973614641316413,86.57686432782171,0.7
9.5625,0.39973614641316413,86.57686432782171,0.7
10.0125,0.39973614641316413,86.57686432782171,0.7
10.4625,0.39973614641316413,86.57686432782171,0.7
10.9125,0.39973614641316413,86.57686432782171,0.7
11.3625,0.39973614641316413,86.57686432782171,0.7
11.8125,0.39973614641316413,86.57686432782171,0.7
