t,state,q,z,h_ref,release_cmd,apex_event,last_apex
0.0,compress,0.0,0.02,0.550000011920929,0.16,0,
0.004166666666666667,compress,-1.832051195751083e-20,0.019829687500000002,0.550000011920929,0.16,0,
0.008333333333333333,compress,-4.759669006561314e-20,0.019489092045669915,0.550000011920929,0.16,0,
0.0125,compress,-8.338771550785412e-20,0.01897824549745805,0.550000011920929,0.16,0,
0.016666666666666666,compress,-1.2301606729969384e-19,0.018297182028903253,0.550000011920929,0.16,0,
0.020833333333333332,compress,-1.648675581977091e-19,0.017445938124821522,0.550000011920929,0.16,0,
0.024999999999999998,compress,-2.0796922957763369e-19,0.016424552579367355,0.550000011920929,0.16,0,
0.029166666666666664,compress,-2.3341429394643316e-19,0.015233066493969992,0.550000011920929,0.16,0,
0.03333333333333333,compress,-2.665350159373308e-19,0.01387152327514482,0.550000011920929,0.16,0,
0.0375,compress,-3.0419489105750556e-19,0.012339968632180193,0.550000011920929,0.16,0,
0.041666666666666664,compress,-3.4450293830500625e-19,0.0106384505746999,0.550000011920929,0.16,0,
0.04583333333333333,compress,-9.341984464176102e-07,0.010625243603272678,0.550000011920929,0.16,0,
0.049999999999999996,compress,-1.700756700261297e-06,0.010727683705181306,0.550000011920929,0.16,0,
0.05416666666666666,compress,-2.3028222540979787e-06,0.010805116861061,0.550000011920929,0.16,0,
0.05833333333333333,compress,-2.7908905895387747e-06,0.01085780176705325,0.550000011920929,0.16,0,
0.06249999999999999,compress,-2.854873559072418e-06,0.010885809130921695,0.550000011920929,0.16,0,
0.06666666666666667,compress,-1.9307494673340266e-06,0.010895816576233097,0.550000011920929,0.16,0,
0.07083333333333333,compress,-1.2372252716786304e-06,0.010904074353440077,0.550000011920929,0.16,0,
0.075,compress,-6.710837385933804e-07,0.010911654691510186,0.550000011920929,0.16,0,
0.07916666666666666,compress,-1.9042870899455566e-07,0.010918633543659365,0.550000011920929,0.16,0,
0.08333333333333333,compress,2.2449412311988454e-07,0.010925060220700503,0.550000011920929,0.16,0,
0.0875,compress,7.019393401622089e-07,0.010930976434143022,0.550000011920929,0.16,0,
0.09166666666666666,compress,1.211073250497128e-06,0.010936424142253792,0.550000011920929,0.16,0,
0.09583333333333333,compress,1.7224730930841626e-06,0.010941400761158597,0.550000011920929,0.16,0,
0.09999999999999999,compress,2.2341765238127135e-06,0.010945980545101172,0.550000011920929,0.16,0,
0.10416666666666666,compress,2.75433265683364e-06,0.010949824571118781,0.550000011920929,0.16,0,
0.10833333333333332,compress,3.2764056663688537e-06,0.010953074918165474,0.550000011920929,0.16,0,
0.11249999999999999,compress,3.792873910197542e-06,0.010956053741710183,0.550000011920929,0.16,0,
0.11666666666666665,compress,4.305826601079135e-06,0.010958808938236895,0.550000011920929,0.16,0,
0.12083333333333332,compress,4.817196067027917e-06,0.010961345911427145,0.550000011920929,0.16,0,
0.12499999999999999,compress,5.327669535904875e-06,0.010963679172694842,0.550000011920929,0.16,0,
0.12916666666666665,compress,5.83745734350892e-06,0.010965825402569308,0.550000011920929,0.16,0,
0.13333333333333333,compress,6.346617124579149e-06,0.010967799796477586,0.550000011920929,0.16,0,
0.1375,compress,6.855134259080047e-06,0.01096961612391546,0.550000011920929,0.16,0,
0.1416666666666667,compress,7.362955999454085e-06,0.010971287034059328,0.550000011920929,0.16,0,
0.14583333333333337,compress,7.870012547456837e-06,0.010972824171931917,0.550000011920929,0.16,0,
0.15000000000000005,compress,8.376228429422404e-06,0.010974238251282223,0.550000011920929,0.16,0,
0.15416666666666673,compress,8.8815280236828e-06,0.010975539126933194,0.550000011920929,0.16,0,
0.1583333333333334,compress,9.385838198391572e-06,0.010976735863866221,0.550000011920929,0.16,0,
0.1625000000000001,compress,9.889089546467394e-06,0.010977836800745348,0.550000011920929,0.16,0,
0.16666666666666677,compress,1.0391216909443136e-05,0.010978849608185964,0.550000011920929,0.16,0,
0.17083333333333345,compress,1.0892159534053563e-05,0.010979781342321797,0.550000011920929,0.16,0,
0.17500000000000013,compress,1.1391861039511773e-05,0.010980638494074064,0.550000011920929,0.16,0,
0.1791666666666668,compress,1.189068854711177e-05,0.010981464754041315,0.550000011920929,0.16,0,
0.1833333333333335,compress,1.2387957991864388e-05,0.01098220751829474,0.550000011920929,0.16,0,
0.18750000000000017,compress,1.2883336690797628e-05,0.010982891306945958,0.550000011920929,0.16,0,
0.19166666666666685,compress,1.3377048151041272e-05,0.010983521827116205,0.550000011920929,0.16,0,
0.19583333333333353,compress,1.3869234636385176e-05,0.010984102406243477,0.550000011920929,0.16,0,
0.2000000000000002,compress,1.4359930533823114e-05,0.010984636839908385,0.550000011920929,0.16,0,
0.20416666666666689,compress,1.4849130043283804e-05,0.01098512882780972,0.550000011920929,0.16,0,
0.20833333333333356,compress,1.5336816291216415e-05,0.010985581763099486,0.550000011920929,0.16,0,
0.21250000000000024,compress,1.5822968071787526e-05,0.01098599874719984,0.550000011920929,0.16,0,
0.21666666666666692,compress,1.6307560690257107e-05,0.0109863826263769,0.550000011920929,0.16,0,
0.2208333333333336,compress,1.6784427767833183e-05,0.010986790427330454,0.550000011920929,0.16,0,
0.22500000000000028,compress,1.7256572923097624e-05,0.01098713513520181,0.550000011920929,0.16,0,
0.22916666666666696,compress,1.7724728709551012e-05,0.010987449231963516,0.550000011920929,0.16,0,
0.23333333333333364,compress,1.8189829032503344e-05,0.01098773878539734,0.550000011920929,0.16,0,
0.23750000000000032,compress,1.8652459636818807e-05,0.010988004539648539,0.550000011920929,0.16,0,
0.241666666666667,compress,1.9079080644208638e-05,0.010988310353680097,0.550000011920929,0.16,0,
0.24583333333333368,compress,1.9490269839504285e-05,0.010988546370158059,0.550000011920929,0.16,0,
0.25000000000000033,compress,1.989190272730309e-05,0.010988752733519559,0.550000011920929,0.16,0,
0.254166666666667,compress,2.028688646721475e-05,0.010988939971035226,0.550000011920929,0.16,0,
0.25833333333333364,compress,2.0677486784167305e-05,0.010989109047361294,0.550000011920929,0.16,0,
0.2625000000000003,compress,2.106499061777419e-05,0.01098926107284813,0.550000011920929,0.16,0,
0.26666666666666694,compress,2.144551492475979e-05,0.010989431827192928,0.550000011920929,0.16,0,
0.2708333333333336,compress,2.1821794508625418e-05,0.010989565133120872,0.550000011920929,0.16,0,
0.27500000000000024,compress,2.2194837299620142e-05,0.010989679308655513,0.550000011920929,0.16,0,
0.2791666666666669,compress,2.2565977768525452e-05,0.010989780391012002,0.550000011920929,0.16,0,
0.28333333333333355,compress,2.2936138252666865e-05,0.010989869942383606,0.550000011920929,0.16,0,
0.2875000000000002,compress,2.3306184015340797e-05,0.010989948915971619,0.550000011920929,0.16,0,
0.29166666666666685,compress,2.3676568508228586e-05,0.010990018457619764,0.550000011920929,0.16,0,
0.2958333333333335,compress,2.4047903332658138e-05,0.01099007953748124,0.550000011920929,0.16,0,
0.30000000000000016,compress,2.4420636179550476e-05,0.01099013304886194,0.550000011920929,0.16,0,
0.3041666666666668,compress,2.479521169055208e-05,0.010990179828055238,0.550000011920929,0.16,0,
0.30833333333333346,compress,2.5171964569908765e-05,0.010990220641904405,0.550000011920929,0.16,0,
0.3125000000000001,compress,2.555126836024915e-05,0.010990256076935372,0.550000011920929,0.16,0,
0.31666666666666676,compress,2.593338561546325e-05,0.010990286774039387,0.550000011920929,0.16,0,
0.3208333333333334,compress,2.6318729511127445e-05,0.010990313211001516,0.550000011920929,0.16,0,
0.32500000000000007,compress,2.6707592701649997e-05,0.010990335815674069,0.550000011920929,0.16,0,
0.3291666666666667,compress,2.710030763896888e-05,0.010990354903559568,0.550000011920929,0.16,0,
0.33333333333333337,compress,2.749706523095246e-05,0.010990371119435117,0.550000011920929,0.16,0,
0.3375,compress,2.7898048968199192e-05,0.010990384764807275,0.550000011920929,0.16,0,
0.3416666666666667,compress,2.8303061820320313e-05,0.010990396163159622,0.550000011920929,0.16,0,
0.3458333333333333,compress,2.871241638434433e-05,0.010990405475365056,0.550000011920929,0.16,0,
0.35,compress,2.9126478161276896e-05,0.010990412609231582,0.550000011920929,0.16,0,
0.35416666666666663,release,2.9544455350333103e-05,0.010990419016683338,0.550000011920929,0.16,0,
0.3583333333333333,release,0.0003503584025481744,0.010991465865069959,0.550000011920929,0.16,0,
0.36249999999999993,release,0.0008305441253780139,0.010991142115271716,0.550000011920929,0.16,0,
0.3666666666666666,release,0.0013893385033381658,0.010990801924639883,0.550000011920929,0.16,0,
0.37083333333333324,release,0.0019862889362247905,0.010990626431753771,0.550000011920929,0.16,0,
0.3749999999999999,release,0.002601125108818564,0.01099054759226715,0.550000011920929,0.16,0,
0.37916666666666654,release,0.003223678469266705,0.01099051422459663,0.550000011920929,0.16,0,
0.3833333333333332,release,0.0038488404623273436,0.010990507340278132,0.550000011920929,0.16,0,
0.38749999999999984,release,0.004474054176282595,0.010990508709128745,0.550000011920929,0.16,0,
0.3916666666666665,release,0.005098042224928713,0.010990513761181566,0.550000011920929,0.16,0,
0.39583333333333315,release,0.005720169038700648,0.0109905207841979,0.550000011920929,0.16,0,
0.3999999999999998,release,0.006340120903627615,0.01099052871575288,0.550000011920929,0.16,0,
0.40416666666666645,release,0.006957745475840947,0.01099053696353118,0.550000011920929,0.16,0,
0.4083333333333331,release,0.007572971309889531,0.010990545241981477,0.550000011920929,0.16,0,
0.41249999999999976,release,0.00818576750842847,0.010990553420741603,0.550000011920929,0.16,0,
0.4166666666666664,release,0.00879612348820824,0.01099056144282005,0.550000011920929,0.16,0,
0.42083333333333306,release,0.009404038833364568,0.010990569286974998,0.550000011920929,0.16,0,
0.4249999999999997,release,0.010009518207271584,0.010990576949615737,0.550000011920929,0.16,0,
0.42916666666666636,release,0.010612568801113305,0.010990584435575865,0.550000011920929,0.16,0,
0.433333333333333,release,0.011213199054516622,0.010990591753412934,0.550000011920929,0.16,0,
0.43749999999999967,release,0.011811418014069977,0.010990598913069704,0.550000011920929,0.16,0,
0.4416666666666663,release,0.012407235011716493,0.010990605924735618,0.550000011920929,0.16,0,
0.44583333333333297,release,0.013000659503551653,0.010990612798308427,0.550000011920929,0.16,0,
0.4499999999999996,release,0.0135917009890574,0.010990619543155196,0.550000011920929,0.16,0,
0.4541666666666663,release,0.0141803689719752,0.01099062618884007,0.550000011920929,0.16,0,
0.4583333333333329,flight,0.014766672937584005,0.010990632706349968,0.550000011920929,0.16,0,
0.4624999999999996,stance,0.015163270060044406,0.01099057213290392,0.550000011920929,0.16,0,
0.46666666666666623,stance,0.015431471177213064,0.010990495707444274,0.550000011920929,0.16,0,
0.4708333333333329,stance,0.015634960685392805,0.010990484614621545,0.550000011920929,0.16,0,
0.47499999999999953,stance,0.015805693978527945,0.010990521194254761,0.550000011920929,0.16,0,
0.4791666666666662,stance,0.015959726498348044,0.0109905960301148,0.550000011920929,0.16,0,
