t,state,z,zdot,release_cmd,apex_event,last_apex,h_ref
0.0,compress,0.02,0.0,0.25,0,,0.65
0.004166666666666667,compress,0.019829687500000002,-0.040874999999999995,0.25,0,,0.65
0.008333333333333333,compress,0.019489092045669915,-0.08174290903922099,0.25,0,,0.65
0.0125,compress,0.01897824549745805,-0.12260317157084749,0.25,0,,0.65
0.016666666666666666,compress,0.018297182028903253,-0.16345523245315186,0.25,0,,0.65
0.020833333333333332,compress,0.017445938124821522,-0.2042985369796154,0.25,0,,0.65
0.024999999999999998,compress,0.016424552579367355,-0.245132530909,0.25,0,,0.65
0.029166666666666664,compress,0.015233066493969992,-0.2859566604953672,0.25,0,,0.65
0.03333333333333333,compress,0.01387152327514482,-0.3267703725180409,0.25,0,,0.65
0.0375,compress,0.012339968632180193,-0.3675731143115104,0.25,0,,0.65
0.041666666666666664,compress,0.0106384505746999,-0.4083643337952704,0.25,0,,0.65
0.04583333333333333,compress,0.010625243603272678,-0.0031696731425330804,0.25,0,,0.65
0.049999999999999996,compress,0.010727684267521756,0.024585759419778648,0.25,0,,0.65
0.05416666666666666,compress,0.01080511756412566,0.018583991184937004,0.25,0,,0.65
0.05833333333333333,compress,0.010857802790527818,0.012644454336517959,0.25,0,,0.65
0.06249999999999999,compress,0.010885739503608974,0.006704811139477386,0.25,0,,0.65
0.06666666666666667,compress,0.010895754661409816,0.0024036378722023313,0.25,0,,0.65
0.07083333333333333,compress,0.010904017747701663,0.0019831407100432755,0.25,0,,0.65
0.075,compress,0.010911602513951488,0.0018203438999581448,0.25,0,,0.65
0.07916666666666666,compress,0.010918585445696247,0.001675903618741939,0.25,0,,0.65
0.08333333333333333,compress,0.010925015888620881,0.0015433063019124546,0.25,0,,0.65
0.0875,compress,0.010930935630025033,0.001420737936996451,0.25,0,,0.65
0.09166666666666666,compress,0.010936386590758195,0.0013082305759590032,0.25,0,,0.65
0.09583333333333333,compress,0.010941366206584063,0.0011951077982082156,0.25,0,,0.65
0.09999999999999999,compress,0.010945948749809255,0.0010998103740459467,0.25,0,,0.65
0.10416666666666666,compress,0.010949814273020152,0.0009277255706153162,0.25,0,,0.65
0.10833333333333332,compress,0.010953067560890676,0.0007807890889258151,0.25,0,,0.65
0.11249999999999999,compress,0.010956046147237424,0.0007148607232196069,0.25,0,,0.65
0.11666666666666665,compress,0.010958801733582352,0.0006613407227824275,0.25,0,,0.65
0.12083333333333332,compress,0.010961339304962037,0.0006090171311245243,0.25,0,,0.65
0.12499999999999999,compress,0.01096367311030126,0.0005601132814132201,0.25,0,,0.65
0.12916666666666665,compress,0.010965819826253456,0.0005152118285272483,0.25,0,,0.65
0.13333333333333333,compress,0.010967794665926987,0.00047396152164733835,0.25,0,,0.65
0.1375,compress,0.010969611404075109,0.00043601715554957704,0.25,0,,0.65
0.1416666666666667,compress,0.01097128269218765,0.00040110914700963035,0.25,0,,0.65
0.14583333333333337,compress,0.010972820177739472,0.0003689965324373823,0.25,0,,0.65
0.15000000000000005,compress,0.010974234576916101,0.0003394558023911351,0.25,0,,0.65
0.15416666666666673,compress,0.010975535746783994,0.0003122807682940862,0.25,0,,0.65
0.1583333333333334,compress,0.010976732754377782,0.0002872818225090265,0.25,0,,0.65
0.1625000000000001,compress,0.010977833940248503,0.00026428460897294503,0.25,0,,0.65
0.16666666666666677,compress,0.010978846976747593,0.0002431287597813095,0.25,0,,0.65
0.17083333333333345,compress,0.010979778921605735,0.0002236667659540198,0.25,0,,0.65
0.17500000000000013,compress,0.010980636267212955,0.0002057629457326085,0.25,0,,0.65
0.1791666666666668,compress,0.01098146262621058,0.00019832615943028015,0.25,0,,0.65
0.1833333333333335,compress,0.010982205516039362,0.00017829355890758986,0.25,0,,0.65
0.18750000000000017,compress,0.010982889419311291,0.0001641367852631484,0.25,0,,0.65
0.19166666666666685,compress,0.010984926683342087,0.0004889433673910537,0.25,0,,0.65
0.19583333333333353,compress,0.010986528947854797,0.0003845434830502467,0.25,0,,0.65
0.2000000000000002,compress,0.010987613681456714,0.0002603360644601385,0.25,0,,0.65
0.20416666666666689,compress,0.01098564345092586,-0.0004728553274048336,0.25,0,,0.65
0.20833333333333356,compress,0.010985853329983166,5.037097375309302e-05,0.25,0,,0.65
0.21250000000000024,compress,0.010986225516607731,8.932478989562287e-05,0.25,0,,0.65
0.21666666666666692,compress,0.01098657676402644,8.429938049039909e-05,0.25,0,,0.65
0.2208333333333336,compress,0.010986891022295883,7.542198466588962e-05,0.25,0,,0.65
0.22500000000000028,compress,0.010987178712689233,6.904569440389224e-05,0.25,0,,0.65
0.22916666666666696,compress,0.010987443790737378,6.361873155501935e-05,0.25,0,,0.65
0.23333333333333364,compress,0.010987687824721573,5.856815620683409e-05,0.25,0,,0.65
0.23750000000000032,compress,0.01098791236437262,5.388951625113353e-05,0.25,0,,0.65
0.241666666666667,compress,0.010988227103609523,7.553741685703552e-05,0.25,0,,0.65
0.24583333333333368,compress,0.010988821458125752,0.00014264508389470049,0.25,0,,0.65
0.25000000000000033,compress,0.010989393718738895,0.00013734254715423722,0.25,0,,0.65
0.254166666666667,compress,0.010989832259960175,0.00010524989310706223,0.25,0,,0.65
0.25833333333333364,compress,0.010990313303967192,0.00011545056168414669,0.25,0,,0.65
0.2625000000000003,compress,0.010991006865629706,0.00016645479900349175,0.25,0,,0.65
0.26666666666666694,compress,0.010991108860432206,2.4478752599768616e-05,0.25,0,,0.65
0.2708333333333336,compress,0.010991053617271358,-1.325835860351704e-05,0.25,0,,0.65
0.27500000000000024,compress,0.010991051321234135,-5.510489336987834e-07,0.25,0,,0.65
0.2791666666666669,compress,0.010991083912954107,7.822012793243238e-06,0.25,0,,0.65
0.28333333333333355,compress,0.01099111434556645,7.3038269624431384e-06,0.25,0,,0.65
0.2875000000000002,compress,0.010991136470837787,5.310065120944785e-06,0.25,0,,0.65
0.29166666666666685,compress,0.01099115515342627,4.483821235912178e-06,0.25,0,,0.65
0.2958333333333335,compress,0.01099117292001443,4.263981157992536e-06,0.25,0,,0.65
0.30000000000000016,compress,0.010991189733795113,4.035307364126661e-06,0.25,0,,0.65
0.3041666666666668,compress,0.010991205237630598,3.7209205163077352e-06,0.25,0,,0.65
0.30833333333333346,compress,0.010991219428090069,3.4057102728524136e-06,0.25,0,,0.65
0.3125000000000001,compress,0.010991232454992901,3.1264566798944182e-06,0.25,0,,0.65
0.31666666666666676,compress,0.010991244444048484,2.877373340183509e-06,0.25,0,,0.65
0.3208333333333334,compress,0.010991255480273814,2.6486940792186386e-06,0.25,0,,0.65
0.32500000000000007,compress,0.01099136759148262,2.6906690113279175e-05,0.25,0,,0.65
0.3291666666666667,compress,0.01099146587306622,2.358758006432843e-05,0.25,0,,0.65
0.33333333333333337,compress,0.010991554749494814,2.1330342862349583e-05,0.25,0,,0.65
0.3375,compress,0.013299515812559682,0.5539106551355685,0.25,0,,0.65
0.3416666666666667,compress,0.018927218416529445,1.3506486249527427,0.25,0,,0.65
0.3458333333333333,compress,0.02616683150869338,1.7375071421193446,0.25,0,,0.65
0.35,compress,0.03267054482004769,1.5608911947250348,0.25,0,,0.65
0.35416666666666663,release,0.03858646804818711,1.419821574753461,0.25,0,,0.65
