t,q,z
0.0,-0.00016804858160721287,0.010990826300286182
0.004166666666666667,-0.00013391271266579918,0.01099136617598056
0.008333333333333333,-0.00010691260825284673,0.010990962319520806
0.0125,-8.533567808573453e-05,0.010990796621060447
0.016666666666666666,-6.804260623336522e-05,0.010990756638022198
0.020833333333333332,-5.4189740707180953e-05,0.010990744067108411
0.024999999999999998,-4.3104095221773343e-05,0.010990735465200895
0.029166666666666664,-3.4235198733255153e-05,0.01099072721120393
0.03333333333333333,-2.7137840502554327e-05,0.010990717064277903
0.0375,-2.1459712418320638e-05,0.010990708650712567
0.041666666666666664,-1.6917207479870664e-05,0.010990701309733678
0.04583333333333333,-1.3283407825454757e-05,0.010990694786585457
0.049999999999999996,-1.0376708760995149e-05,0.01099068904795601
0.05416666666666666,-8.051796840697092e-06,0.010990684092169342
0.05833333333333333,-6.192406974843762e-06,0.010990679908066035
0.06249999999999999,-4.69843092312073e-06,0.010990670586030158
0.06666666666666667,-3.503441809296917e-06,0.010990665402072589
0.07083333333333333,-2.5478279141197745e-06,0.010990661762459174
0.075,-1.7838690590114829e-06,0.010990658864254245
0.07916666666666666,-1.1731714876730662e-06,0.01099065663344681
0.08333333333333333,-6.850545090820791e-07,0.01099065508113364
0.0875,-2.9502498775503843e-07,0.010990654194525265
0.09166666666666666,1.6502068268735555e-08,0.010990653941746045
0.09583333333333333,-0.00017006604675918221,0.010990724931292647
0.09999999999999999,-0.000135526120958847,0.010991286141593733
0.10416666666666666,-0.00010815466289415269,0.01099074008818939
0.10833333333333332,-8.629132047031633e-05,0.010990612374972104
0.11249999999999999,-6.878751805787751e-05,0.010990624069196472
0.11666666666666665,-5.478005752056816e-05,0.010990637872394817
0.12083333333333332,-4.357380114976338e-05,0.010990643552803396
0.12499999999999999,-3.460866648929747e-05,0.010990647298398219
0.12916666666666665,-2.7436353917813113e-05,0.010990651049990679
0.13333333333333333,-2.1698338724410914e-05,0.010990654883083416
0.1375,-1.7110051275778698e-05,0.010990659588641436
0.1416666666666667,-1.3439206425782398e-05,0.010990663213020188
0.14583333333333337,-1.0515562283062559e-05,0.010990679302443357
0.15000000000000005,-8.177346166152183e-06,0.010990688194033888
0.15416666666666673,-6.30721296345566e-06,0.010990694858610612
0.1583333333333334,-4.811208745575294e-06,0.010990701016785906
0.1625000000000001,-3.6144578611867193e-06,0.010990706865572134
0.16666666666666677,-2.6571062155925865e-06,0.01099071236280677
0.17083333333333345,-1.8912722681563964e-06,0.010990717495775827
0.17500000000000013,-1.2786470015161866e-06,0.010990722274078756
0.1791666666666668,-7.885811827176924e-07,0.01099072671101417
0.1833333333333335,-3.965546465894927e-07,0.010990730819188926
0.18750000000000017,-8.295097662686323e-08,0.010990734610645954
0.19166666666666685,1.6792298298722548e-07,0.01099073809727878
0.19583333333333353,-0.00016996273475762072,0.010990802293340913
0.2000000000000002,-0.00013544371470460887,0.010991344362519688
0.20416666666666689,-0.00010810996080336187,0.01099086845682396
0.20833333333333356,-8.627388509337361e-05,0.010990721478199482
0.21250000000000024,-6.879576763286128e-05,0.010990719819097057
0.21666666666666692,-5.480489969637401e-05,0.010990726780375602
0.2208333333333336,-4.361217667922259e-05,0.010990730169434965
0.22500000000000028,-3.465818005046966e-05,0.010990731453721933
0.22916666666666696,-2.7494823724803182e-05,0.010990732024349172
0.23333333333333364,-2.1763919665635856e-05,0.010990732377231006
0.23750000000000032,-1.7179044880473547e-05,0.010990732660192211
0.241666666666667,-1.3511080588612391e-05,0.01099073293408376
0.24583333333333368,-1.0576721805568176e-05,0.010990733239797911
0.25000000000000033,-8.229311546445457e-06,0.01099073360903801
0.254166666666667,-6.351513117589363e-06,0.010990734065535232
0.25833333333333364,-4.849447952014116e-06,0.010990734625908473
0.2625000000000003,-3.6397750975145027e-06,0.010990726556256785
0.26666666666666694,-2.671724006809103e-06,0.010990723510094714
0.2708333333333336,-1.897296116133167e-06,0.010990722081531496
0.27500000000000024,-1.2780294467916937e-06,0.010990721091796838
0.2791666666666669,-7.829068351059315e-07,0.010990720388311536
0.28333333333333355,-3.870476206009166e-07,0.010990719972770076
0.2875000000000002,-7.060888954984208e-08,0.010990719845058242
0.29166666666666685,1.822940543092275e-07,0.010990719982381575
0.2958333333333335,-0.0001699470487780236,0.010990781476449737
0.30000000000000016,-0.00013543106197439283,0.01099133298861857
0.3041666666666668,-0.00010810057625041225,0.01099084996047833
0.30833333333333346,-8.626562540511574e-05,0.010990699348265659
0.3125000000000001,-6.876774672502699e-05,0.010990678892992569
0.31666666666666676,-5.4763369655570284e-05,0.010990682301277798
0.3208333333333334,-4.355884974672893e-05,0.010990681035080824
0.32500000000000007,-3.459507396602311e-05,0.0109906775832154
0.3291666666666667,-2.742387094523827e-05,0.01099067418135281
0.33333333333333337,-2.1686711527171985e-05,0.010990671174360285
0.3375,-1.709688254643303e-05,0.010990668542138548
0.3416666666666667,-1.342500621867902e-05,0.010990666276921716
0.3458333333333333,-1.0487541139829976e-05,0.010990664378190528
0.35,-8.137708138787236e-06,0.010990662912378612
0.35416666666666663,-6.258141163407455e-06,0.010990662079498236
0.3583333333333333,-4.754835402842459e-06,0.01099066178828254
0.36249999999999993,-3.552530062530503e-06,0.010990661981409197
0.3666666666666666,-2.590950635589362e-06,0.010990662615310114
0.37083333333333324,-1.8219407383992664e-06,0.010990663652002637
0.3749999999999999,-1.2069479989824764e-06,0.010990665060383466
0.37916666666666654,-7.151013474725741e-07,0.010990666454018775
0.3833333333333332,-3.217821130705179e-07,0.010990667943740767
0.38749999999999984,-7.28016840579588e-09,0.01099066955638556
0.3916666666666665,2.441723181167056e-07,0.010990671272963479
0.39583333333333315,-0.00016989597273696778,0.01099074374595183
0.3999999999999998,-0.00013539010976190452,0.010991298156462931
0.40416666666666645,-0.00010804570759073897,0.010990757739691962
0.4083333333333331,-8.622457228405125e-05,0.010990659077075308
0.41249999999999976,-6.87378774648048e-05,0.010990654417827286
0.4166666666666664,-5.4755887004663445e-05,0.010990675231576126
0.42083333333333306,-4.357009715635684e-05,0.010990685600893463
0.4249999999999997,-3.462157052569744e-05,0.010990691837670803
0.42916666666666636,-2.7462539928161228e-05,0.010990697117131803
0.433333333333333,-2.1735070671058626e-05,0.010990701996746377
0.43749999999999967,-1.7152914109863027e-05,0.010990706492241847
0.4416666666666663,-1.3487069009251602e-05,0.010990710619744127
0.44583333333333297,-1.0554317735829695e-05,0.010990714419675796
0.4499999999999996,-8.208073859306034e-06,0.010990717931871407
0.4541666666666663,-6.331059606804215e-06,0.0109907211887529
0.4583333333333329,-4.829446189172045e-06,0.010990724216180425
0.4624999999999996,-3.628165392353803e-06,0.010990727035064148
0.46666666666666623,-2.667158559144644e-06,0.01099072966251932
0.4708333333333329,-1.8983755719403805e-06,0.010990732112697592
0.47499999999999953,-1.283373866347183e-06,0.010990734397430058
0.4791666666666662,-7.913975011048614e-07,0.010990736526740513
0.48333333333333284,-3.978402980153857e-07,0.010990738509252312
0.4874999999999995,-8.301626294304403e-08,0.01099074035251222
0.49166666666666614,1.688241524503539e-07,0.010990742063244107
0.4958333333333328,-0.00016996109658335437,0.010990804681093024
0.49999999999999944,-0.0001354423717485265,0.010991348685329807
0.5041666666666661,-0.00010810934971431772,0.010990869948748358
0.5083333333333327,-8.627388948555096e-05,0.010990721183041296
0.5124999999999994,-6.879345061078499e-05,0.010990717096799685
0.516666666666666,-5.480047173365317e-05,0.010990722420386272
0.5208333333333327,-4.3606102268359324e-05,0.010990724507987958
0.5249999999999994,-3.4650828356955805e-05,0.010990724701546353
0.529166666666666,-2.7486522528432375e-05,0.010990724335711006
0.5333333333333327,-2.175494361139534e-05,0.010990723890379887
0.5374999999999993,-1.7162690580994058e-05,0.010990716359516498
0.541666666666666,-1.3488434142489088e-05,0.010990712910486767
0.5458333333333326,-1.054889622303256e-05,0.010990710806314072
0.5499999999999993,-8.197395718977114e-06,0.010990709110843886
0.5541666666666659,-6.316419031319816e-06,0.010990707729190885
0.5583333333333326,-4.811904515570907e-06,0.010990706687234958
0.5624999999999992,-3.6085927615752463e-06,0.01099070599000582
0.5666666666666659,-2.6462712223193073e-06,0.01099070562677266
0.5708333333333325,-1.876764525709466e-06,0.010990705581711988
0.5749999999999992,-1.2615272590068616e-06,0.01099070583709801
0.5791666666666658,-7.696807101074776e-07,0.01099070636434529
0.5833333333333325,-3.764694534935775e-07,0.01099070712430496
0.5874999999999991,-6.217756763277825e-08,0.010990708104424271
0.5916666666666658,1.8898136803100217e-07,0.010990709283134064
0.5958333333333324,-0.0001699419638699067,0.010990771734654632
0.5999999999999991,-0.00013542699935537115,0.010991323905934715
0.6041666666666657,-0.0001080971130170076,0.010990841817662623
0.6083333333333324,-8.626235347244056e-05,0.010990692055348344
0.612499999999999,-6.877398394618404e-05,0.01099068018372341
0.6166666666666657,-5.4775819742230425e-05,0.010990684926636185
0.6208333333333323,-4.357707042028869e-05,0.010990686055968967
0.624999999999999,-3.461843850697623e-05,0.010990685273227094
0.6291666666666657,-2.745159334198022e-05,0.010990684301229337
0.6333333333333323,-2.171818894563609e-05,0.01099068358243017
0.637499999999999,-1.7131628533049377e-05,0.010990683166034828
0.6416666666666656,-1.3462628785283661e-05,0.010990683054890257
0.6458333333333323,-1.0527745699299844e-05,0.010990683254243532
0.6499999999999989,-8.18020910922795e-06,0.010990683766083434
0.6541666666666656,-6.302591048036066e-06,0.010990684586113901
0.6583333333333322,-4.800939428436916e-06,0.010990685704477463
0.6624999999999989,-3.600084408118753e-06,0.010990687107123675
0.6666666666666655,-2.6398831840807725e-06,0.01099068877694353
0.6708333333333322,-1.8722156189038646e-06,0.010990690694644157
0.6749999999999988,-1.2584600117327108e-06,0.010990692808796587
0.6791666666666655,-7.67805889703894e-07,0.010990695098229333
0.6833333333333321,-3.756276330977437e-07,0.010990697544126973
0.6874999999999988,-6.222076867647197e-08,0.010990700121924922
0.6916666666666654,1.8817997981839583e-07,0.010990702806275338
0.6958333333333321,-0.00016994341669214084,0.010990766681579826
0.6999999999999987,-0.00013542817790916097,0.010991317843914269
0.7041666666666654,-0.0001080981708269164,0.010990837968200268
0.708333333333332,-8.626358073260032e-05,0.010990689752889188
0.7124999999999987,-6.877613710328148e-05,0.010990679190221037
0.7166666666666653,-5.477917316000918e-05,0.010990685100972572
0.720833333333332,-4.35812921872893e-05,0.0109906872383936
0.7249999999999986,-3.462313894507513e-05,0.010990687338690042
0.7291666666666653,-2.7456663894062283e-05,0.010990687192395834
0.733333333333332,-2.172355528514091e-05,0.010990687235909222
0.7374999999999986,-1.7137225615902394e-05,0.01099068751082374
0.7416666666666653,-1.3468399594995153e-05,0.01099068802003257
0.7458333333333319,-1.053363956645961e-05,0.01099068877109081
0.7499999999999986,-8.186180767689413e-06,0.010990689768548749
0.7541666666666652,-6.308599963587917e-06,0.010990691010684868
0.7583333333333319,-4.80694925351021e-06,0.010990692490269743
0.7624999999999985,-3.606062533587604e-06,0.010990694195951561
0.7666666666666652,-2.6456668838558702e-06,0.01099069607944993
0.7708333333333318,-1.8776631346373988e-06,0.010990698130989683
0.7749999999999985,-1.2635715573200303e-06,0.010990700334405752
0.7791666666666651,-7.726051758069254e-07,0.010990702668110391
0.7833333333333318,-3.8013196268500113e-07,0.010990705109661611
0.7874999999999984,-6.644414845625108e-08,0.010990707637142768
0.7916666666666651,1.8422623300236788e-07,0.010990710229451897
0.7958333333333317,-0.00016994707794525376,0.010990773980930443
0.7999999999999984,-0.00013543111641477575,0.010991323636994118
0.804166666666665,-0.00010810042591158333,0.010990844157768832
0.8083333333333317,-8.626556292619852e-05,0.010990695985359114
0.8124999999999983,-6.87781976822113e-05,0.010990685319214688
0.816666666666665,-5.478141088842639e-05,0.010990691060429717
0.8208333333333316,-4.3583489697483484e-05,0.010990692958530661
0.8249999999999983,-3.462526101242718e-05,0.010990692812111662
0.8291666666666649,-2.7458681567023557e-05,0.01099069241268146
0.8333333333333316,-2.1725447356374102e-05,0.010990692194446728
0.8374999999999982,-1.7138976877535933e-05,0.010990692199906829
0.8416666666666649,-1.3469999495101024e-05,0.010990692433824865
0.8458333333333315,-1.0535081304781457e-05,0.010990692905616734
0.8499999999999982,-8.187460605815189e-06,0.010990693621541706
0.8541666666666649,-6.309716663278511e-06,0.010990694581456004
0.8583333333333315,-4.807903614604407e-06,0.01099069577959322
0.8624999999999982,-3.606857012657688e-06,0.010990697205953684
0.8666666666666648,-2.6463044701876524e-06,0.010990698813294687
0.8708333333333315,-1.8781559485312819e-06,0.010990700595098803
0.8749999999999981,-1.2639308794480145e-06,0.01099070253562295
0.8791666666666648,-7.728417207668439e-07,0.010990704614025643
0.8833333333333314,-3.802559124185332e-07,0.01099070680877185
0.8874999999999981,-6.64651991050208e-08,0.010990709098772502
0.8916666666666647,1.8429882718852757e-07,0.01099071146362201
0.8958333333333314,-0.00016994692285911655,0.010990774995725712
0.899999999999998,-0.0001354309904357786,0.010991324745682065
0.9041666666666647,-0.00010810013899079725,0.010990844922144598
0.9083333333333313,-8.626532403041435e-05,0.010990696536604002
0.912499999999998,-6.877784206918745e-05,0.010990685670524176
0.9166666666666646,-5.478089422681578e-05,0.01099069122415854
0.9208333333333313,-4.3582892022069535e-05,0.010990692964449631
0.9249999999999979,-3.462459292928394e-05,0.010990692668772433
0.9291666666666646,-2.7457953445424176e-05,0.010990692128844128
0.9333333333333312,-2.172466843929108e-05,0.010990691780300838
0.9374999999999979,-1.713815553892892e-05,0.01099069166593348
0.9416666666666645,-1.3469143431907145e-05,0.010990691790375914
0.9458333333333312,-1.0534197625114039e-05,0.010990692162837096
0.9499999999999978,-8.18655588394682e-06,0.010990692789348987
0.9541666666666645,-6.3087969825535385e-06,0.010990693669516412
0.9583333333333311,-4.806974603120712e-06,0.010990694797295725
0.9624999999999978,-3.6059238724738174e-06,0.010990696162385844
0.9666666666666645,-2.645427748817845e-06,0.01099069773139156
0.9708333333333311,-1.8773239504083136e-06,0.010990699478226685
0.9749999999999978,-1.2631409449986287e-06,0.010990701391535367
0.9791666666666644,-7.720916661777501e-07,0.01099070345154319
0.9833333333333311,-3.7954411153798314e-07,0.01099070563623853
0.9874999999999977,-6.579048269469689e-08,0.01099070792385205
0.9916666666666644,1.8493730784305225e-07,0.01099071029334251
0.995833333333331,-0.00016994632461170113,0.010990773835285073
0.9999999999999977,-0.00013543051020456812,0.010991323838504886
1.0041666666666644,-0.00010809981071379244,0.010990843941209501
1.008333333333331,-8.626515015257626e-05,0.010990695536698377
1.0124999999999977,-6.877789798563835e-05,0.010990684660881388
1.0166666666666644,-5.478090564655704e-05,0.010990689946526697
1.020833333333331,-4.35828054486495e-05,0.01099069188443417
1.0249999999999977,-3.4624445530178653e-05,0.010990691670687617
1.0291666666666643,-2.7457772474246995e-05,0.010990691174728187
1.033333333333331,-2.172446885854355e-05,0.01099069086765273
1.0374999999999976,-1.71379474174241e-05,0.010990690797204295
1.0416666666666643,-1.3468934551541e-05,0.010990690967039246
1.045833333333331,-1.0533994080535731e-05,0.010990691385597757
1.0499999999999976,-8.186362351202797e-06,0.010990692058571895
1.0541666666666643,-6.30861696641871e-06,0.010990692985343598
1.058333333333331,-4.806810658751289e-06,0.010990694159663852
1.0624999999999976,-3.605777788175167e-06,0.010990695571034244
1.0666666666666642,-2.6453037477841145e-06,0.010990697186650498
1.0708333333333309,-1.8772206924782078e-06,0.010990698978904947
1.0749999999999975,-1.2630574539569862e-06,0.01099070093663061
1.0791666666666642,-7.720268863557707e-07,0.010990703040013657
1.0833333333333308,-3.794969455830278e-07,0.010990705266893934
1.0874999999999975,-6.57598103887882e-08,0.01099070759535441
1.0916666666666641,1.8495261924611034e-07,0.010990710004227234
1.0958333333333308,-0.00016994632283358124,0.010990773584227405
1.0999999999999974,-0.00013543050902001607,0.010991323587851728
1.104166666666664,-0.00010809976279463277,0.010990843731558345
1.1083333333333307,-8.62649965311417e-05,0.010990695365912935
1.1124999999999974,-6.877751454433761e-05,0.01099068454152032
1.116666666666664,-5.478055371046731e-05,0.01099069014594651
1.1208333333333307,-4.3582567609076586e-05,0.010990691945706057
1.1249999999999973,-3.462428934557888e-05,0.010990691709677609
1.129166666666664,-2.7457674389734965e-05,0.010990691229399163
1.1333333333333306,-2.1724416448611846e-05,0.010990690940759011
1.1374999999999973,-1.7137932250352346e-05,0.010990690886384975
1.141666666666664,-1.3468949784874429e-05,0.010990691070622489
1.1458333333333306,-1.0534034000258227e-05,0.010990691502398973
1.1499999999999972,-8.186422211419712e-06,0.01099069218749261
1.154166666666664,-6.308692829397888e-06,0.010990693125277128
1.1583333333333306,-4.806899245004836e-06,0.010990694309498405
1.1624999999999972,-3.6058763535278482e-06,0.010990695729665425
1.1666666666666639,-2.6454017699994913e-06,0.010990697350900774
1.1708333333333305,-1.8773185293723713e-06,0.010990699148432748
1.1749999999999972,-1.263154388008508e-06,0.01099070111042565
1.1791666666666638,-7.721223352905639e-07,0.010990703216884976
1.1833333333333305,-3.7959041005984317e-07,0.010990705445697486
1.1874999999999971,-6.585085636260507e-08,0.010990707775024863
1.1916666666666638,1.8486436636561742e-07,0.010990710183773856
1.1958333333333304,-0.0001699464077352842,0.010990773762999603
1.199999999999997,-0.00013543057718700655,0.010991323726908394
1.2041666666666637,-0.00010810006378518628,0.01099084391852511
1.2083333333333304,-8.626590360596772e-05,0.010990695558013049
1.212499999999997,-6.876870715025081e-05,0.010990675877499833
1.2166666666666637,-5.4765354377983625e-05,0.010990680566317829
1.2208333333333303,-4.356979855335951e-05,0.010990687163733345
1.224999999999997,-3.461388882887538e-05,0.010990688211334162
1.2291666666666636,-2.7449387068567317e-05,0.010990688052182665
1.2333333333333303,-2.1717853681097206e-05,0.010990688008901925
1.237499999999997,-1.7132744856501762e-05,0.01099068821792432
1.2416666666666636,-1.3464858764740167e-05,0.010990688657329058
1.2458333333333302,-1.053081840898358e-05,0.01099068932434546
1.249999999999997,-8.183905751428657e-06,0.010990690224311588
1.2541666666666635,-6.306734319527573e-06,0.010990691358328789
1.2583333333333302,-4.805385553437262e-06,0.010990692721710518
1.2624999999999968,-3.6047168261198537e-06,0.010990694305282241
1.2666666666666635,-2.6445090522814166e-06,0.010990696071614993
1.2708333333333302,-1.8766388352278831e-06,0.010990698002160917
1.2749999999999968,-1.2626429657463592e-06,0.010990700084845867
1.2791666666666635,-7.717434433264488e-07,0.010990702300248683
1.28333333333333,-3.793154664333074e-07,0.010990704627173949
1.2874999999999968,-6.565700269761125e-08,0.010990707044691564
1.2916666666666634,1.8499539919283628e-07,0.010990709532544657
1.29583333333333,-0.0001699463261606795,0.010990773179582138
1.2999999999999967,-0.0001354305128598102,0.010991323155338937
1.3041666666666634,-0.00010810001081902131,0.010990843427879168
1.30833333333333,-8.626587013655217e-05,0.010990695127943479
1.3124999999999967,-6.87782502151703e-05,0.010990684332486086
1.3166666666666633,-5.478118797952579e-05,0.010990689970917136
1.32083333333333,-4.3583106064952034e-05,0.01099069180223832
1.3249999999999966,-3.4624747945486666e-05,0.010990691594518254
1.3291666666666633,-2.7458066147404547e-05,0.01099069113847194
1.33333333333333,-2.1724751928565335e-05,0.010990690870102295
1.3374999999999966,-1.713821999880019e-05,0.010990690832418338
1.3416666666666632,-1.346919672971415e-05,0.01099069103014549
1.3458333333333299,-1.0534245780935256e-05,0.010990691472553332
1.3499999999999965,-8.186603441455991e-06,0.010990692165732095
1.3541666666666632,-6.308847306217492e-06,0.01099069310934509
1.3583333333333298,-4.807030116478989e-06,0.010990694297406161
1.3624999999999965,-3.6059862504773155e-06,0.010990695719671898
1.3666666666666631,-2.645491970931351e-06,0.010990697341254069
1.3708333333333298,-1.8773916720756615e-06,0.010990699138041059
1.3749999999999964,-1.2632125831910498e-06,0.010990701098273426
1.379166666666663,-7.721673872270596e-07,0.010990703202098615
1.3833333333333298,-3.7962386957184874e-07,0.010990705427572066
1.3874999999999964,-6.587406726668952e-08,0.010990707753013982
1.391666666666663,1.8485022866747546e-07,0.01099071015747284
1.3958333333333297,-0.00016994641225503718,0.010990773731563427
1.3999999999999964,-0.00013543058077348662,0.010991323707642414
1.404166666666663,-0.00010810006735527519,0.010990843888063267
1.4083333333333297,-8.626519930427782e-05,0.010990695494030847
1.4124999999999963,-6.87776841980105e-05,0.010990684656255193
1.416666666666663,-5.478069550865013e-05,0.010990690252779782
1.4208333333333296,-4.358268396846331e-05,0.010990692044370686
1.4249999999999963,-3.462438393079781e-05,0.010990691799725446
1.429166666666663,-2.7457750214809903e-05,0.010990691310570264
1.4333333333333296,-2.1724476004266328e-05,0.010990691012917718
1.4374999999999962,-1.713797761585232e-05,0.010990690949479166
1.4416666666666629,-1.3468982711147709e-05,0.010990691124669051
1.4458333333333295,-1.0534055974890292e-05,0.010990691547477569
1.4499999999999962,-8.186434510094391e-06,0.010990692223739742
1.4541666666666628,-6.308696556725168e-06,0.010990693152880258
1.4583333333333295,-4.806895366930531e-06,0.010990694328690064
1.4624999999999961,-3.6058657229847864e-06,0.010990695740717664
1.4666666666666628,-2.6453875825243195e-06,0.010990697354738935
1.4708333333333294,-1.8773009562566962e-06,0.010990699145222304
1.474999999999996,-1.263133903187477e-06,0.010990701100548988
1.4791666666666627,-7.720993614898882e-07,0.010990703200803652
1.4833333333333294,-3.795653344456619e-07,0.0109907054238871
1.487499999999996,-6.582403651996157e-08,0.010990707747963324
1.4916666666666627,1.8489259980121626e-07,0.010990710151939123
1.4958333333333294,-0.00016994637844604393,0.010990773726703337
1.499999999999996,-0.00013543055363543006,0.010991323705376118
1.5041666666666627,-0.00010810004561161508,0.010990843885824024
