t,state,q,z
0.0,compress,0.0,0.02
0.004166666666666667,compress,-1.832051195751083e-20,0.019829687500000002
0.008333333333333333,compress,-4.7578369553655624e-20,0.019489092045669915
0.0125,compress,-8.331086096019236e-20,0.01897824549745805
0.016666666666666666,compress,-1.2282093517874467e-19,0.018297182028903253
0.020833333333333332,compress,-1.6447902886185065e-19,0.017445938124821522
0.024999999999999998,compress,-2.073009599426395e-19,0.016424552579367355
0.029166666666666664,compress,-2.323722157112849e-19,0.015233066493969992
0.03333333333333333,compress,-2.6503836448284914e-19,0.01387152327514482
0.0375,compress,-3.0216345060984996e-19,0.012339968632180193
0.041666666666666664,compress,-3.4185252389173173e-19,0.0106384505746999
0.04583333333333333,compress,-9.341984464176067e-07,0.010625243603272678
0.049999999999999996,compress,-1.6845340858084684e-06,0.010727682844106341
0.05416666666666666,compress,-2.281251295951396e-06,0.010805115746850195
0.05833333333333333,compress,-3.0429509247785844e-06,0.010857844196899944
0.06249999999999999,compress,-2.9879262092198257e-06,0.010885894973658279
0.06666666666666667,compress,-2.045282748696574e-06,0.0108958838545103
0.07083333333333333,compress,-1.332591979153163e-06,0.010904140181036193
0.075,compress,-7.516115030591978e-07,0.010911715426573324
0.07916666666666666,compress,-2.5907349054471446e-07,0.010918689347056742
0.08333333333333333,compress,1.6555767026013951e-07,0.010925111476260938
0.0875,compress,6.478030428558636e-07,0.010931023568128017
0.09166666666666666,compress,1.1587931441519009e-06,0.010936467491188281
0.09583333333333333,compress,1.6700637970981315e-06,0.010941440632333906
0.09999999999999999,compress,2.1801348396649094e-06,0.010946017218725228
0.10416666666666666,compress,2.6979540126407024e-06,0.010949833369815996
0.10833333333333332,compress,3.215748265929006e-06,0.01095308022918355
0.11249999999999999,compress,3.7268893017382857e-06,0.01095605971541667
0.11666666666666665,compress,4.2336025090632286e-06,0.010958814720978266
0.12083333333333332,compress,4.737770632394609e-06,0.010961351203091598
0.12499999999999999,compress,5.24006406832443e-06,0.01096368402072515
0.12916666666666665,compress,5.740696067109316e-06,0.01096582986142586
0.13333333333333333,compress,6.2397300326379025e-06,0.01096780389911629
0.1375,compress,6.737157428760409e-06,0.010969619897992215
0.1416666666666667,compress,7.232932009687592e-06,0.010971290505670608
0.14583333333333337,compress,7.726990811484365e-06,0.010972827365310677
0.15000000000000005,compress,8.219265405873252e-06,0.010974241188708149
0.15416666666666673,compress,8.709687370605058e-06,0.010975541828885637
0.1583333333333334,compress,9.198190903695495e-06,0.010976738349181923
0.1625000000000001,compress,9.68471404436288e-06,0.010977839086751963
0.16666666666666677,compress,1.0169199185581905e-05,0.01097885171082262
0.17083333333333345,compress,1.0651593220378131e-05,0.0109797832762504
0.17500000000000013,compress,1.113184749924866e-05,0.010980640272781506
0.1791666666666668,compress,1.1610339752130395e-05,0.010981466353266491
0.1833333333333335,compress,1.2086395964901044e-05,0.010982208950974057
