t,z,zdot,state,u_h,apex_pred,apex_event
0.0,0.6,0.0,FLIGHT,0.0,0.6,0
0.002,0.5999568359999999,-0.021582000000000004,FLIGHT,0.0,0.5999568359999999,0
0.004,0.5998705115276451,-0.043162236177421515,FLIGHT,0.0,0.5998705115276451,0
0.006,0.5997410302593245,-0.06474063416031729,FLIGHT,0.0,0.5997410302593245,0
0.008,0.599568396020121,-0.08631711960173082,FLIGHT,0.0,0.599568396020121,0
0.01,0.5993526127837596,-0.10789161818071945,FLIGHT,0.0,0.5993526127837596,0
0.012,0.5990936846725529,-0.12946405560337684,FLIGHT,0.0,0.5990936846725529,0
0.014,0.5987916159573452,-0.15103435760385459,FLIGHT,0.0,0.5987916159573452,0
0.016,0.5984464110574544,-0.17260244994538299,FLIGHT,0.0,0.5984464110574544,0
0.018000000000000002,0.5980580745406119,-0.1941682584212911,FLIGHT,0.0,0.5980580745406119,0
0.020000000000000004,0.5976266111228998,-0.21573170885602574,FLIGHT,0.0,0.5976266111228998,0
0.022000000000000006,0.5971520256686875,-0.23729272710616978,FLIGHT,0.0,0.5971520256686875,0
0.024000000000000007,0.5966343231905646,-0.2588512390614593,FLIGHT,0.0,0.5966343231905646,0
0.02600000000000001,0.596073508849273,-0.28040717064579995,FLIGHT,0.0,0.596073508849273,0
0.02800000000000001,0.5954695879536365,-0.30196044781828235,FLIGHT,0.0,0.5954695879536365,0
0.030000000000000013,0.5948225659604881,-0.32351099657419613,FLIGHT,0.0,0.5948225659604881,0
0.032000000000000015,0.594132448474596,-0.3450587429460435,FLIGHT,0.0,0.594132448474596,0
0.034000000000000016,0.5933992412485869,-0.3666036130045511,FLIGHT,0.0,0.5933992412485869,0
0.03600000000000002,0.5926229501828675,-0.3881455328596811,FLIGHT,0.0,0.5926229501828675,0
0.03800000000000002,0.5918035813255442,-0.4096844286616415,FLIGHT,0.0,0.5918035813255442,0
0.04000000000000002,0.5909411408723404,-0.43122022660189424,FLIGHT,0.0,0.5909411408723404,0
0.04200000000000002,0.590035635166512,-0.45275285291416323,FLIGHT,0.0,0.590035635166512,0
0.044000000000000025,0.5890870706987611,-0.4742822338754405,FLIGHT,0.0,0.5890870706987611,0
0.04600000000000003,0.5880954541071471,-0.4958082958069912,FLIGHT,0.0,0.5880954541071471,0
0.04800000000000003,0.5870607921769965,-0.5173309650753575,FLIGHT,0.0,0.5870607921769965,0
0.05000000000000003,0.5859830918408098,-0.5388501680933611,FLIGHT,0.0,0.5859830918408098,0
0.05200000000000003,0.5848623601781675,-0.560365831321104,FLIGHT,0.0,0.5848623601781675,0
0.054000000000000034,0.5836986044156336,-0.5818778812669688,FLIGHT,0.0,0.5836986044156336,0
0.056000000000000036,0.5824918319266563,-0.6033862444886168,FLIGHT,0.0,0.5824918319266563,0
0.05800000000000004,0.5812420502314684,-0.6248908475939846,FLIGHT,0.0,0.5812420502314684,0
0.06000000000000004,0.5799492669969838,-0.6463916172422802,FLIGHT,0.0,0.5799492669969838,0
0.06200000000000004,0.5786134900366938,-0.6678884801449765,FLIGHT,0.0,0.5786134900366938,0
0.06400000000000004,0.5772347273105602,-0.689381363066804,FLIGHT,0.0,0.5772347273105602,0
0.06600000000000004,0.5758129869249068,-0.7108701928267417,FLIGHT,0.0,0.5758129869249068,0
0.06800000000000005,0.5743482771323087,-0.7323548962990063,FLIGHT,0.0,0.5743482771323087,0
0.07000000000000005,0.5728406063314807,-0.7538354004140403,FLIGHT,0.0,0.5728406063314807,0
0.07200000000000005,0.5712899830671617,-0.7753116321594978,FLIGHT,0.0,0.5712899830671617,0
0.07400000000000005,0.5696964160299992,-0.7967835185812293,FLIGHT,0.0,0.5696964160299992,0
0.07600000000000005,0.5680599140564306,-0.8182509867842642,FLIGHT,0.0,0.5680599140564306,0
0.07800000000000006,0.5663804861285631,-0.8397139639337919,FLIGHT,0.0,0.5663804861285631,0
0.08000000000000006,0.5646581413740508,-0.8611723772561416,FLIGHT,0.0,0.5646581413740508,0
0.08200000000000006,0.5628928890659712,-0.8826261540397592,FLIGHT,0.0,0.5628928890659712,0
0.08400000000000006,0.5610847386226989,-0.9040752216361837,FLIGHT,0.0,0.5610847386226989,0
0.08600000000000006,0.5592336996077769,-0.9255195074610209,FLIGHT,0.0,0.5592336996077769,0
0.08800000000000006,0.557339781729787,-0.9469589389949153,FLIGHT,0.0,0.557339781729787,0
0.09000000000000007,0.555402994842218,-0.9683934437845212,FLIGHT,0.0,0.555402994842218,0
0.09200000000000007,0.553423348943331,-0.9898229494434697,FLIGHT,0.0,0.553423348943331,0
0.09400000000000007,0.5514008541760244,-1.0112473836533364,FLIGHT,0.0,0.5514008541760244,0
0.09600000000000007,0.5493355208276951,-1.0326666741646053,FLIGHT,0.0,0.5493355208276951,0
0.09800000000000007,0.5472273593300998,-1.0540807487976311,FLIGHT,0.0,0.5472273593300998,0
0.10000000000000007,0.5450763802592126,-1.0754895354436,FLIGHT,0.0,0.5450763802592126,0
0.10200000000000008,0.5428825943350816,-1.0968929620654881,FLIGHT,0.0,0.5428825943350816,0
0.10400000000000008,0.5406460124216835,-1.1182909566990173,FLIGHT,0.0,0.5406460124216835,0
0.10600000000000008,0.5383666455267763,-1.1396834474536106,FLIGHT,0.0,0.5383666455267763,0
0.10800000000000008,0.5360445048017496,-1.161070362513343,FLIGHT,0.0,0.5360445048017496,0
0.11000000000000008,0.5336796015414738,-1.182451630137892,FLIGHT,0.0,0.5336796015414738,0
0.11200000000000009,0.5312719471841468,-1.2038271786634862,FLIGHT,0.0,0.5312719471841468,0
