t,z,vz,E_total
0,0.5,0.0,11.357499999999998
0.004166666666666667,0.4998296875,-0.040875,11.36988352832031
0.008333333333333333,0.49948909204566994,-0.08174290903922099,11.395970463957202
0.0125,0.49897824549745806,-0.1226031715708475,11.435896488863257
0.016666666666666666,0.4982971820289033,-0.16345523245315188,11.48986651662236
0.020833333333333332,0.4974459381248215,-0.20429853697961542,11.558154641504931
0.024999999999999998,0.49642455257936735,-0.24513253090900003,11.641104082841473
0.029166666666666664,0.49523306649397,-0.2859566604953673,11.73912712472278
0.03333333333333333,0.49387152327514483,-0.326770372518041,11.852705051035688
0.0375,0.4923399686321802,-0.36757311431151046,11.982388075844003
0.041666666666666664,0.4906384505746999,-0.40836433379527043,12.12879526912469
0.04583333333333333,0.4887670194101016,-0.4491434795035944,12.292614477870178
0.049999999999999996,0.4867257277408714,-0.4899100006152384,12.474602242568112
0.05416666666666666,0.4845146304617753,-0.5306633469830712,12.675583709070604
0.05833333333333333,0.4821337847569268,-0.571402969163628,12.896452535865517
0.06249999999999999,0.4795832500967327,-0.6121283184465842,13.138170796763012
0.06666666666666667,0.4768630882347154,-0.6528388468841453,13.401768879011193
0.07083333333333333,0.47397336320421396,-0.6935340073203509,13.688345376855164
0.075,0.4709141413149628,-0.734213253420288,13.999066980554538
0.07916666666666666,0.4676854911495494,-0.7748760396992116,14.335168360874958
0.08333333333333333,0.4642874835597512,-0.8155218215515685,14.697952049069748
0.0875,0.4607201916627515,-0.856150055279921,15.088788312368514
0.09166666666666666,0.45698369083723583,-0.8967601981237685,15.509115024989894
0.09583333333333333,0.45307805871936807,-0.9373517082882612,15.960437534696473
0.09999999999999999,0.449003375198648,-0.9779240449728064,16.44432852491019
0.10416666666666666,0.44475972241364986,-1.0184766683995605,16.962427872407375
0.10833333333333332,0.44034718474764234,-1.0590090398418066,17.516442500612932
0.11249999999999999,0.4357658488240915,-1.0995206216522115,18.10814622851382
0.11666666666666665,0.43101580350204577,-1.1400108772909627,18.739379615212567
0.12083333333333332,0.426097139871405,-1.180479271353779,19.41204980014195
0.12499999999999999,0.42100995124807256,-1.220925269599793,20.128130338962826
0.12916666666666665,0.41575433316899213,-1.2613483389793032,20.889661035167205
0.13333333333333333,0.4103303833870697,-1.3017479476613916,21.6987477674096
0.1375,0.4047382018659805,-1.3421235650614034,22.557562312589987
0.1416666666666667,0.3989778907748626,-1.3824746618682877,23.4683421647122
0.14583333333333337,0.3930495544828968,-1.422800710071795,24.433390349542425
0.15000000000000005,0.3869532995537738,-1.463101182989528,25.455075235092416
0.15416666666666673,0.38068923474004945,-1.503375555293844,26.53583033795318
0.1583333333333334,0.3742574709773886,-1.543623303038606,27.678154125504953
0.1625000000000001,0.36765812137869786,-1.5838439036857792,28.88460981402985
0.16666666666666677,0.3608913012281484,-1.6240368361318698,30.157825162754342
0.17083333333333345,0.3539571279750892,-1.6642015807342043,31.500492263848756
0.17500000000000013,0.3468557212278515,-1.704337619337046,32.915367328411925
0.1791666666666668,0.3395872027474451,-1.7444444352975457,34.40527046846919
0.1833333333333335,0.33215169644114706,-1.7845215135115242,35.97308547501274
0.18750000000000017,0.3245493283559842,-1.8245683404390858,37.62175959211354
0.19166666666666685,0.316780226672109,-1.8645844041300559,39.35430328713464
0.19583333333333353,0.30884452169607046,-1.9045691942492444,41.17379001707607
0.2000000000000002,0.30074234585398074,-1.9445222021015305,43.08335599108206
0.20416666666666689,0.2924738336845776,-1.9844429206567658,45.08619992914146
0.20833333333333356,0.2840391218321838,-2.024330844574495,47.18558281701338
0.21250000000000024,0.2754383490395651,-2.0641854702284905,49.384827657409275
0.21666666666666692,0.26667165614068555,-2.104006295731098,51.6873192174646
0.2208333333333336,0.2577391860533631,-2.1437928209573927,54.09650377253234
0.22500000000000028,0.248641083771825,-2.183544547569142,56.615888846331664
0.22916666666666696,0.23937749635916428,-2.223260979038573,59.24904294748559
0.23333333333333364,0.22994857293969784,-2.2629416206719433,61.999595302481126
0.23750000000000032,0.22035446469122738,-2.30258597963291,64.87123558508675
0.241666666666667,0.21059532483720364,-2.3421935649657,67.86771364226166
0.24583333333333368,0.200671308638795,-2.381763887618073,70.99283921659203
0.25000000000000033,0.19058257338686133,-2.4212964604640823,74.25048166528948
0.254166666666667,0.18032927839383373,-2.4607907983266224,77.64456967578812
0.25833333333333364,0.16991158498550135,-2.500246417999772,81.1790909779756
0.2625000000000003,0.15932965649270586,-2.53966283827092,84.85809205309553
0.26666666666666694,0.1485836582429447,-2.5790395799426813,88.68567783935713
0.2708333333333336,0.1376737575518839,-2.618376165854592,92.66601143429018
0.27500000000000024,0.12660012371478144,-2.6576721209045915,96.80331379388221
0.2791666666666669,0.11536292799782193,-2.6969269720702815,101.10186342853582
0.28333333333333355,0.10396234362936374,-2.7361402484299657,105.56599609588424
0.2875000000000002,0.09239854579109931,-2.775311481183463,110.20010449050386
0.29166666666666685,0.08067171160912973,-2.8144402036727003,115.00863793056165
0.2958333333333335,0.06878202014495442,-2.853525951402073,119.99610204143711
0.30000000000000016,0.056729652386377,-2.892568262058582,125.1670584363577
0.3041666666666668,0.04542058833977736,-2.714175371183913,129.21675445153528
0.30833333333333346,0.034862572434785175,-2.5339238171981244,133.08070500091216
0.3125000000000001,0.025050929749046547,-2.3547942445772705,136.75398973495223
0.31666666666666676,0.018229077949628573,-1.6372444318603132,137.6616301766077
0.3208333333333334,0.01211914365502665,-1.4663842307044619,140.0326057356874
0.32500000000000007,0.005907448412604639,-1.4908068581812826,142.93219086034054
